interaction_id,fk_user_id,fk_post_id,action,view_time
I0b227ca1,Uaebbad30,P54a1d075,save,247
I52b08bef,U91da6ea1,Pdbd03750,save,16
I3f5d9bd4,U4442fbd1,P2cb75b3a,comment,220
I00958ad8,U39995463,P4b06f8e9,share,166
I00619d24,Ucf68b506,P906680ef,comment,245
I7dd28dc6,U27887c59,P38872bd0,save,158
I433ac0b4,Ueefacd6f,Pfbcdfc2b,like,73
I8121ce03,U596c102d,P2b177a35,share,188
Ife8da2b8,U7c549a4c,P00123d97,share,62
I2c15c0c5,Uefbd5c07,P622430b1,comment,59
I82def7bd,U12a5768f,P84c323e2,like,168
If87ab587,U06f990ac,P9547373a,like,92
Ie3ec299a,U675505e0,P9af7d8c1,save,151
I821c6f87,U7fcfb85f,P81b3c917,save,135
Ifc09d9e2,U552d52c6,P5859f847,save,268
I2cb7adb0,U0542e556,Pb81b4e81,comment,114
I98ca5248,U1fcd6a69,P27c3d908,like,9
I67767792,U64d3cb0b,P59cb9840,share,164
Icde57aef,U315c53d1,P8a98a15e,like,266
I6ae91d69,U14b39279,Pc5c23d01,save,290
I3e45709c,Ufbf34442,P57548e67,like,297
I0022f537,Uba27d3dc,P9c8742d2,share,295
I14e2f8e0,U0c896d3b,P2b72d926,save,158
Id27cbfd5,Uf09967f1,P33bff09a,save,297
I9deea942,U21d1acc4,P35acf46d,comment,206
I8b1c6dc1,U905fa850,P1a27db57,comment,106
I7e11109e,Ua6f53cf2,P33928d38,comment,147
I0b9003e4,Ufe42197c,P4bd8ff0d,save,143
I248d5196,Uc767163b,P1d5d44ff,like,263
I1660e89f,U80f34ca6,P1329a425,comment,298
I178319bc,Uae4514f1,Pa9b55c30,save,168
I98ecd622,Ub131287b,Pe098421b,comment,80
Ied5d1c11,U43f23a42,Peae31354,like,91
Id7be9ec2,U0551b034,Padd574ca,comment,256
I4307ceb2,U602e5341,P156fe1e3,comment,12
I0e8742f1,Ua2b7e8d1,P981faa51,share,5
I4bf7841f,U2a5bae0a,P207113bc,comment,6
Iacf0a5bd,Ud0bb3288,P8dff9f29,like,285
I109ddc18,U8a0096f7,Pd2d95759,comment,154
Iabe9d12f,U3fe68642,P5ca52a7a,save,237
Ic6eb6936,U20ed8a94,Pafac0025,like,7
